Time	wtime	gpufbmem	gpumempct	gpusmpct	ngpus	pss	rss	swap	vmem	rchar	read_bytes	wchar	write_bytes	rx_bytes	rx_packets	tx_bytes	tx_packets	stime	utime	nprocs	nthreads
1771723606	49	0	0	0	0	80921	194832	0	1465352	4602097	0	7070	0	148152	830	668329	367	2	207	8	37
1771723607	50	0	0	0	0	175899	472604	0	1982024	4608690	0	7160	0	149385	844	668329	367	2	210	6	29
1771723608	51	0	0	0	0	263038	579836	0	2374136	4635062	0	7444	0	153101	865	668329	367	2	215	10	39
1771723609	52	0	0	0	0	179806	484328	0	2005460	4635062	0	7444	0	158481	886	670326	382	2	218	6	29
1771723610	53	0	0	0	0	272985	597464	0	2399524	4661434	0	7728	0	160509	895	670424	383	2	222	10	39
1771723611	54	0	0	0	0	181323	496572	0	2079668	4661434	0	7728	0	161070	903	670522	384	2	231	10	39
1771723612	55	0	0	0	0	182253	491660	0	2020112	4674620	0	7868	0	161992	910	670522	384	2	231	6	29
1771723613	56	0	0	0	0	304833	622396	0	2375112	4700992	0	8150	0	162272	915	670608	385	2	236	10	39
1771723614	57	0	0	0	0	178835	481412	0	1999604	4700992	0	8150	0	162564	920	670608	385	2	239	6	29
1771723615	58	0	0	0	0	276202	587744	0	2359484	4727364	0	8432	0	167214	943	677831	401	3	250	10	39
1771723616	59	0	0	0	0	180341	493452	0	2073812	4727364	0	8432	0	167472	947	678023	403	3	259	10	39
1771723617	60	0	0	0	0	182732	493096	0	2023040	4740550	0	8574	0	169556	960	678023	403	3	259	6	29
1771723618	61	0	0	0	0	286204	604764	0	2380968	4766922	0	8856	0	170231	967	678023	403	3	263	10	39
1771723619	62	0	0	0	0	180304	485792	0	2008388	4766922	0	8856	0	175082	982	679434	412	3	265	6	29
1771723620	63	0	0	0	0	297871	615452	0	2368276	4793294	0	9136	0	175862	992	679792	417	3	271	10	39
1771723621	64	0	0	0	0	175421	471148	0	1979096	4793294	0	9136	0	176202	998	679854	418	3	274	6	29
1771723622	65	0	0	0	0	246898	416124	0	2074788	4819666	0	9418	0	176426	1002	679854	418	3	279	9	38
1771723623	66	0	0	0	0	180847	495096	0	2076740	4819666	0	9418	0	178328	1014	680194	421	3	288	10	39
1771723624	67	0	0	0	0	179325	335980	0	1703184	4832852	0	9558	0	179086	1023	680366	423	3	288	5	28
1771723625	68	0	0	0	0	287462	754344	0	2674456	4859224	0	9842	0	179541	1028	680452	424	3	293	11	40
1771723626	69	0	0	0	0	175910	472616	0	1982024	4859224	0	9842	0	181406	1034	680452	424	3	295	6	29
1771723627	70	0	0	0	0	249374	570524	0	2404728	4885596	0	10126	0	182460	1040	680452	424	3	303	11	42
1771723628	71	0	0	0	0	181519	647604	0	2404728	4885596	0	10126	0	183632	1048	680739	427	3	314	12	43
1771723629	72	0	0	0	0	180790	487268	0	2011316	4898782	0	10268	0	185609	1065	681974	434	3	314	6	29
1771723630	73	0	0	0	0	271928	585768	0	2348508	4925154	0	10548	0	190000	1081	682650	441	4	315	11	38
1771723631	74	0	0	0	0	179378	629756	0	2301880	4925154	0	10548	0	190056	1082	682650	441	4	317	7	30
1771723632	75	0	0	0	0	246959	417028	0	2057032	4951526	0	10832	0	191332	1090	682736	442	4	322	9	35
1771723633	76	0	0	0	0	182266	499276	0	2060936	4951526	0	10832	0	191929	1096	683104	446	4	328	10	36
1771723634	77	0	0	0	0	177362	476996	0	1990808	4964712	0	10972	0	193299	1111	684908	458	4	328	6	29
1771723635	78	0	0	0	0	294992	611492	0	2359312	4991084	0	11256	0	211879	1180	696041	509	4	334	10	36
1771723636	79	0	0	0	0	184687	498944	0	2034752	4991084	0	11256	0	212905	1189	696389	512	4	336	6	29
1771723637	80	0	0	0	0	242236	558716	0	2369252	5017456	0	11538	0	213798	1200	697039	519	4	341	10	39
1771723638	81	0	0	0	0	177914	486136	0	2059160	5017456	0	11538	0	215810	1211	697267	521	4	350	10	39
1771723639	82	0	0	0	0	181276	339876	0	1710992	5030642	0	11678	0	217960	1226	697553	524	4	350	5	28
1771723640	83	0	0	0	0	298547	609560	0	2343532	5057014	0	11958	0	225542	1255	699013	533	4	354	9	36
1771723641	84	0	0	0	0	180295	337924	0	1707088	5057014	0	11958	0	226985	1265	699339	536	4	357	5	28
1771723642	85	0	0	0	0	242042	722964	0	2733368	5083386	0	12240	0	228730	1278	699809	540	4	362	12	43
1771723643	86	0	0	0	0	179072	637564	0	2385192	5083386	0	12240	0	229535	1287	700119	543	4	373	12	43
1771723644	87	0	0	0	0	180307	485792	0	2008388	5096572	0	12380	0	232317	1301	700319	545	4	373	6	29
